05:06:25:719,25418303,LOAD,,0,POINTER;POINTER;POINTER;,0,threads.c,220
05:06:25:719,25418303,LOAD,,0,POINTER;POINTER;POINTER;POINTER;,0,threads.c,220
05:06:25:719,25418303,FUNCTIONCALL,pthread_create,0,POINTER;POINTER;POINTER;POINTER;FUNCTION_SKIP;,0,threads.c,220
05:06:25:719,25418303,BRANCH,run_rosace,394393624,CONSTANT;,,threads.c,219
05:06:25:719,25418303,LOAD,i,394120080,INT;LOCAL;,0,threads.c,219
05:06:25:730,25418303,STORE,i,394120080,INT;LOCAL;,1,threads.c,219
05:06:25:730,25418303,BRANCH,run_rosace,394392136,LOCAL;,,threads.c,219
05:06:25:730,25418303,LOAD,i,394120080,INT;LOCAL;,1,threads.c,219
05:06:25:730,25418303,BRANCH,run_rosace,394392808,LOCAL;,,threads.c,220
05:06:25:730,25418303,LOAD,i,394120080,INT;LOCAL;,1,threads.c,220
05:06:25:730,25418303,GETELEMENTPTR,,394395592,POINTER;LOCAL;,0x1781ffc8,threads.c,220
05:06:25:730,25418303,LOAD,i,394120080,INT;LOCAL;,1,threads.c,220
05:06:25:730,25418303,GETELEMENTPTR,,7202468,POINTER;LOCAL;,0x6de6a4,threads.c,220
05:06:25:739,25418303,LOAD,,7202468,POINTER;LOCAL;,0,threads.c,220
05:06:25:739,25418303,LOAD,,0,POINTER;,0x1781ffc8,threads.c,220
05:06:25:739,25418303,LOAD,,0,POINTER;POINTER;,0,threads.c,220
05:06:25:739,25418303,LOAD,,0,POINTER;POINTER;POINTER;,0,threads.c,220
05:06:25:739,25418303,LOAD,,0,POINTER;POINTER;POINTER;POINTER;,0,threads.c,220
05:06:25:739,25418303,FUNCTIONCALL,pthread_create,0,POINTER;POINTER;POINTER;POINTER;FUNCTION_SKIP;,0,threads.c,220
05:06:25:739,25418303,BRANCH,run_rosace,394393624,CONSTANT;,,threads.c,219
05:06:25:739,25418303,LOAD,i,394120080,INT;LOCAL;,1,threads.c,219
05:06:25:739,25418303,STORE,i,394120080,INT;LOCAL;,2,threads.c,219
05:06:25:739,25418303,BRANCH,run_rosace,394392136,LOCAL;,,threads.c,219
05:06:25:739,25418303,LOAD,i,394120080,INT;LOCAL;,2,threads.c,219
05:06:25:749,25418303,BRANCH,run_rosace,394392808,LOCAL;,,threads.c,220
05:06:25:749,25418303,LOAD,i,394120080,INT;LOCAL;,2,threads.c,220
05:06:25:749,25418303,GETELEMENTPTR,,394395600,POINTER;LOCAL;,0x1781ffd0,threads.c,220
05:06:25:749,25418303,LOAD,i,394120080,INT;LOCAL;,2,threads.c,220
05:06:25:749,25418303,GETELEMENTPTR,,7202472,POINTER;LOCAL;,0x6de6a8,threads.c,220
05:06:25:749,25418303,LOAD,,7202472,POINTER;LOCAL;,0,threads.c,220
05:06:25:749,25418303,LOAD,,0,POINTER;,0x1781ffd0,threads.c,220
05:06:25:749,25418303,LOAD,,0,POINTER;POINTER;,0,threads.c,220
05:06:25:749,25418303,LOAD,,0,POINTER;POINTER;POINTER;,0,threads.c,220
05:06:25:749,25418303,LOAD,,0,POINTER;POINTER;POINTER;POINTER;,0,threads.c,220
05:06:25:749,25418303,FUNCTIONCALL,pthread_create,0,POINTER;POINTER;POINTER;POINTER;FUNCTION_SKIP;,0,threads.c,220
05:06:25:749,25418303,BRANCH,run_rosace,394393624,CONSTANT;,,threads.c,219
05:06:25:749,25418303,LOAD,i,394120080,INT;LOCAL;,2,threads.c,219
05:06:25:766,25418303,STORE,i,394120080,INT;LOCAL;,3,threads.c,219
05:06:25:766,25418303,BRANCH,run_rosace,394392136,LOCAL;,,threads.c,219
05:06:25:766,25418303,LOAD,i,394120080,INT;LOCAL;,3,threads.c,219
05:06:25:766,25418303,BRANCH,run_rosace,394392808,LOCAL;,,threads.c,220
05:06:25:766,25418303,LOAD,i,394120080,INT;LOCAL;,3,threads.c,220
05:06:25:766,25418303,GETELEMENTPTR,,394395608,POINTER;LOCAL;,0x1781ffd8,threads.c,220
05:06:25:766,25418303,LOAD,i,394120080,INT;LOCAL;,3,threads.c,220
05:06:25:766,25418303,GETELEMENTPTR,,7202476,POINTER;LOCAL;,0x6de6ac,threads.c,220
05:06:25:773,25418303,LOAD,,7202476,POINTER;LOCAL;,0,threads.c,220
05:06:25:773,25418303,LOAD,,0,POINTER;,0x1781ffd8,threads.c,220
05:06:25:773,25418303,LOAD,,0,POINTER;POINTER;,0,threads.c,220
05:06:25:773,25418303,LOAD,,0,POINTER;POINTER;POINTER;,0,threads.c,220
05:06:25:773,25418303,LOAD,,0,POINTER;POINTER;POINTER;POINTER;,0,threads.c,220
05:06:25:773,25418303,FUNCTIONCALL,pthread_create,0,POINTER;POINTER;POINTER;POINTER;FUNCTION_SKIP;,0,threads.c,220
05:06:25:773,25418303,BRANCH,run_rosace,394393624,CONSTANT;,,threads.c,219
05:06:25:773,25418303,LOAD,i,394120080,INT;LOCAL;,3,threads.c,219
05:06:25:773,25418303,STORE,i,394120080,INT;LOCAL;,4,threads.c,219
05:06:25:773,25418303,BRANCH,run_rosace,394392136,LOCAL;,,threads.c,219
05:06:25:773,25418303,LOAD,i,394120080,INT;LOCAL;,4,threads.c,219
05:06:25:784,25418303,BRANCH,run_rosace,394392808,LOCAL;,,threads.c,220
05:06:25:784,25418303,LOAD,i,394120080,INT;LOCAL;,4,threads.c,220
05:06:25:784,25418303,GETELEMENTPTR,,394395616,POINTER;LOCAL;,0x1781ffe0,threads.c,220
05:06:25:784,25418303,LOAD,i,394120080,INT;LOCAL;,4,threads.c,220
05:06:25:784,25418303,GETELEMENTPTR,,7202480,POINTER;LOCAL;,0x6de6b0,threads.c,220
05:06:25:784,25418303,LOAD,,7202480,POINTER;LOCAL;,0,threads.c,220
